Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect
0.52;0.52;0.0;0.99;0.0;0.0;0.0;0.81
0.46;0.52;0.0;0.99;0.0;0.0;0.0;0.82
0.47;0.52;0.0;0.99;0.0;0.02;0.0;0.78
0.37;0.51;0.0;0.99;0.0;0.0;0.0;0.8
0.33;0.5;0.0;0.99;0.0;0.19;0.0;0.75
0.41;0.5;0.0;0.99;0.0;0.12;0.0;0.78
0.4;0.53;0.0;0.99;0.0;0.99;0.0;0.78
0.46;0.51;0.0;0.99;0.06;0.0;0.0;0.74
0.5;0.49;0.0;0.99;0.0;0.0;0.0;0.76
0.66;0.5;0.0;0.99;0.0;0.0;0.0;0.75
0.85;0.99;0.01;1.0;0.49;0.0;0.73;0.63
0.79;1.0;0.0;1.0;0.0;0.0;0.0;0.63
0.88;1.0;0.0;1.0;0.0;0.43;0.64;0.71
0.79;0.99;0.0;1.0;0.0;0.0;0.98;0.69
0.63;0.99;0.0;1.0;0.0;0.0;0.0;0.65
0.83;0.99;0.0;1.0;0.0;0.0;0.37;0.67
0.91;0.99;0.01;1.0;0.0;0.0;0.9;0.66
1.0;0.98;0.05;1.0;0.0;0.0;0.36;0.68
0.99;0.98;0.87;1.0;0.71;0.0;0.02;0.7
0.97;0.98;0.39;1.0;0.73;0.0;0.0;0.72
0.99;0.99;0.15;1.0;0.18;0.0;0.0;0.73
0.97;0.99;0.42;1.0;0.65;0.0;0.02;0.72
0.97;0.99;0.24;1.0;0.49;0.0;0.0;0.73
0.97;0.99;0.0;1.0;0.0;0.0;0.0;0.78
0.79;0.98;0.0;1.0;0.03;0.02;0.32;0.57
0.98;0.98;0.0;1.0;0.0;0.0;0.0;0.7
0.98;0.6;0.0;1.0;0.0;0.5;0.0;0.63
0.94;0.59;0.0;1.0;0.0;0.95;0.64;0.6
0.88;0.58;0.0;1.0;0.0;0.07;0.0;0.5
0.67;0.57;0.0;1.0;0.0;0.14;0.52;0.59
0.8;0.59;0.0;1.0;0.0;0.67;0.22;0.61
0.95;0.62;0.0;1.0;0.0;0.07;0.27;0.7
0.96;0.64;0.0;1.0;0.0;0.0;0.69;0.69
0.9;0.66;0.0;1.0;0.0;0.45;0.73;0.63
0.93;0.68;0.0;1.0;0.0;0.0;0.96;0.68
0.85;0.7;0.0;1.0;0.0;0.15;0.87;0.75
0.82;0.72;0.0;1.0;0.94;0.47;0.99;0.67
0.81;0.76;0.0;1.0;0.0;0.01;0.74;0.71
0.78;0.79;0.0;1.0;0.0;0.0;0.22;0.65
0.67;0.81;0.0;1.0;0.0;0.99;0.0;0.67
0.76;0.83;0.0;1.0;0.0;0.08;0.39;0.55
0.96;0.85;0.0;1.0;0.0;0.04;0.03;0.54
0.99;0.86;0.0;1.0;0.34;0.63;0.99;0.59
0.58;0.88;0.0;1.0;0.0;0.0;1.0;0.53
0.28;0.9;0.0;1.0;0.0;0.09;0.0;0.47
0.58;0.91;0.0;1.0;0.0;0.78;0.97;0.5
0.99;1.0;0.0;1.0;0.09;0.0;0.51;0.67
0.99;0.99;0.0;1.0;0.0;0.0;0.31;0.68
1.0;0.97;0.0;1.0;0.0;0.0;0.11;0.71
1.0;0.96;0.0;1.0;0.04;0.0;0.48;0.72
0.98;0.94;0.0;1.0;0.0;0.0;0.08;0.66
0.98;0.94;0.0;1.0;0.0;0.0;0.03;0.74
0.95;0.94;0.0;1.0;0.41;0.0;0.02;0.73
0.96;0.93;0.0;1.0;0.0;0.12;0.16;0.73
0.98;0.94;0.0;1.0;0.0;0.0;0.07;0.75
0.98;0.95;0.0;1.0;0.0;0.0;0.05;0.73
1.0;0.94;0.0;1.0;0.0;0.0;0.02;0.68
0.98;0.93;0.0;1.0;0.0;0.0;0.69;0.63
0.96;0.93;0.0;1.0;0.0;0.0;0.0;0.75
0.4;0.56;0.0;0.99;0.0;0.05;0.74;0.77
0.44;0.56;0.0;0.99;0.0;1.0;0.02;0.75
0.56;0.57;0.0;0.99;0.01;0.84;0.33;0.77
0.45;0.56;0.0;0.99;0.0;0.74;0.57;0.77
0.52;0.56;0.0;0.99;0.0;0.1;0.95;0.75
0.45;0.56;0.0;0.99;0.0;0.92;0.0;0.77
0.56;0.56;0.0;0.99;0.0;0.98;0.0;0.75
0.54;0.55;0.0;0.99;0.0;0.11;0.0;0.76
0.52;0.55;0.0;0.99;0.0;0.06;0.0;0.73
0.53;0.54;0.0;0.99;0.0;0.18;0.0;0.75
0.54;0.54;0.0;0.99;0.01;0.0;0.0;0.73
0.6;0.53;0.0;0.99;0.37;0.0;0.08;0.74
0.57;0.56;0.0;0.99;0.64;0.0;0.0;0.7
0.55;0.53;0.0;0.99;0.0;0.01;0.0;0.73
0.56;0.52;0.0;0.99;0.0;0.0;0.0;0.75
0.52;0.52;0.0;0.99;0.0;0.05;0.0;0.75
0.75;0.99;0.0;1.0;0.07;0.98;0.81;0.74
0.93;0.99;0.0;1.0;0.0;1.0;0.59;0.72
0.26;0.53;0.0;0.97;0.0;0.85;0.45;0.63
0.38;0.55;0.0;0.98;0.12;0.95;0.07;0.65
0.47;0.54;0.0;0.98;0.46;0.0;0.01;0.72
0.21;0.55;0.0;0.98;0.58;0.0;0.22;0.71
0.31;0.57;0.0;0.98;0.21;0.0;0.01;0.75
0.26;0.58;0.0;0.98;0.37;0.0;0.01;0.67
0.36;0.58;0.0;0.98;0.71;0.54;0.01;0.6
0.53;0.58;0.0;0.98;0.27;0.03;0.03;0.56
0.89;0.59;0.0;0.99;0.53;0.03;0.84;0.57
0.96;0.61;0.0;0.99;0.18;1.0;1.0;0.57
0.93;0.62;0.0;0.99;0.55;0.79;0.35;0.59
0.72;0.63;0.0;0.99;0.21;0.0;0.0;0.65
0.75;0.65;0.0;0.99;0.44;0.83;0.0;0.58
0.63;0.66;0.0;0.99;0.19;0.45;0.0;0.56
0.72;0.68;0.0;0.99;0.16;0.02;0.0;0.57
1.0;0.98;0.74;1.0;0.01;0.0;0.27;0.75
0.92;0.99;0.0;1.0;0.0;0.0;0.02;0.71
0.96;0.99;0.03;1.0;0.0;0.0;0.0;0.7
1.0;0.88;0.21;1.0;0.55;0.19;0.38;0.62
0.99;0.89;0.77;1.0;0.27;0.99;0.12;0.66
0.99;0.9;0.35;1.0;0.49;0.0;0.28;0.65
0.89;0.9;0.29;1.0;0.29;0.31;0.9;0.67
0.97;0.91;1.0;1.0;0.06;0.02;0.6;0.67
0.97;0.92;0.81;1.0;0.23;0.26;0.07;0.66
0.91;0.93;0.24;1.0;0.0;0.77;0.02;0.63
0.97;0.94;0.97;1.0;0.0;0.03;0.16;0.64
0.95;0.95;0.66;1.0;0.0;0.87;0.04;0.66
0.96;0.96;0.36;1.0;0.0;0.43;0.0;0.66
0.97;0.96;0.77;1.0;0.0;0.15;0.01;0.66
0.99;0.97;0.19;1.0;0.0;0.0;0.1;0.6
0.94;0.97;0.43;1.0;0.0;0.0;0.52;0.65
0.99;0.97;0.32;1.0;0.0;0.0;0.01;0.63
